id,alias,name,review_count,categories,rating,latitude,longitude,address,city,state
M7nW2XPQjzs1pCIdPYRfhA,moes-crabs-and-seafood-accokeek,MOES Crabs and Seafood,103,Seafood,4.0,38.6695559827258,-76.9953011674928,"['710 Accokeek Rd', 'Accokeek, MD 20607']",Accokeek,MD
5BYpX8Yb3LSGyTJfjRiuMw,m-a-s-h-eatery-fort-washington,M.A.S.H Eatery,246,Seafood,3.5,38.72629,-76.99072,"['11911 Livingston Rd', 'Fort Washington, MD 20744']",Fort Washington,MD
bk_-_yWdFCBYwldPG1Vo0Q,khin-s-sushi-washington,Khin’s Sushi,33,Seafood,4.0,38.877060084468184,-77.00312528834344,"['202 M St SE', 'Washington, DC 20003']","Washington, DC",DC
eyweCIcvdR6CiQgYL-XSVA,bistro-eighteen90-alexandria,Bistro Eighteen90,6,Seafood,4.0,38.801,-77.07376,"['2460 Eisenhower Ave', 'Alexandria, VA 22314']",Alexandria,VA
y3pbgAqsebUEoJTsj8yX7g,fisher-of-men-alexandria,Fisher Of Men,4,Seafood,5.0,38.741157,-77.085812,"['7929 Richmond Hwy', 'Alexandria, VA 22306']",Alexandria,VA
3wiPpg3zwEQeoxHQzzx43A,red-lobster-woodbridge,Red Lobster,181,Seafood,2.5,38.652336,-77.288687,"['2544 Prince William Pkwy', 'Woodbridge, VA 22192']",Woodbridge,VA
xPaYZfZCi2wk3ATQPexE4Q,captain-bobs-crabs-and-seafood-woodbridge,Captain Bobs Crabs & Seafood,31,Seafood,3.5,38.648619,-77.295126,"['Worth Ave', 'Woodbridge, VA 22192']",Woodbridge,VA
rzt8h-Pmw7kAnguly4KTDw,levis-restaurant-and-catering-clinton,Levi's Restaurant & Catering,111,Seafood,2.5,38.783155,-76.895895,"['6410 Coventry Way', 'Clinton, MD 20735']",Clinton,MD
_Wy1FM-Gd1hdp7Bt6G2Ktg,the-fishmarket-clinton,The Fishmarket,180,Seafood,3.0,38.7847039145546,-76.8985492000314,"['7611 Old Branch Ave', 'Clinton, MD 20735']",Clinton,MD
7Jxv7CpSOcsBsfCWZQD_bg,pho-golden-xpress-woodbridge,Pho Golden Xpress,27,Seafood,3.5,38.6400638,-77.2672924,"['14408 Jefferson Davis Hwy', 'Woodbridge, VA 22191']",Woodbridge,VA
uI5p5rNZZj_3B1Pu3xZTeQ,s-and-s-seafood-fort-washington-2,S & S Seafood,45,Seafood,3.5,38.726256041973,-76.99350120397507,"['944 E Swan Creek Rd', 'Fort Washington, MD 20744']",Fort Washington,MD
hImsyEvxz8Iiu_RhfwGfog,dionne-s-good-food-washington,Dionne’s Good Food,1,Seafood,5.0,38.845819,-76.989916,"['1110 Oak Dr SE', 'Washington, DC 20032']","Washington, DC",DC
xEYDAk90UObGNabunP9F1A,todays-seafood-and-crab-suitland,Today's Seafood & Crab,39,Seafood,3.5,38.84372,-76.94881,"['3510 Old Silver Hill Rd', 'Suitland, MD 20746']",Suitland,MD
FAkctQmnIWTHl37D4jfvYA,horace-and-dickies-seafood-suitland,Horace & Dickie's Seafood,123,Seafood,2.5,38.810827,-76.89662,"['5601 Allentown Rd', 'Suitland, MD 20746']",Suitland,MD
60nGLaTeX4gcH41CQFUuzw,kachis-chicken-temple-hills-2,Kachis Chicken,9,Seafood,4.0,38.829832,-76.941266,"['4306 Saint Barnabas Rd', 'Temple Hills, MD 20748']",Temple Hills,MD
YOzPYAnYU6RK8Rjqxqh9Bg,l-and-v-crab-cafe-temple-hills,L & V Crab Cafe,17,Seafood,4.0,38.84912,-76.95506,"['3330 Naylor Rd', 'Temple Hills, MD 20748']",Temple Hills,MD
BjYOYDc1iDDAYNp_v9XkvA,moruss-seafood-and-crab-house-washington,Moruss Seafood & Crab House,44,Seafood,3.0,38.8761446,-76.9656821,"['2902 Minnesota Ave SE', 'Washington, DC 20019']","Washington, DC",DC
oyZtcd6bXvIJ6xQ9_GFXCw,south-pride-seafood-and-soul-oxon-hill,South Pride Seafood and Soul,40,Seafood,3.0,38.8184741,-77.0000542,"['5201 Indian Head Hwy', 'Oxon Hill, MD 20745']",Oxon Hill,MD
7XgGgp2XS_sXFXqkrzcAnA,hills-seafood-and-crab-hillcrest-heights,Hill's Seafood and Crab,17,Seafood,4.0,38.8452392914492,-76.951656639576,"['3433 Branch Ave', 'Hillcrest Heights, MD 20748']",Hillcrest Heights,MD
vX367HwZZm08jFIcq_Pn8Q,cf-sub-fort-washington-2,CF Sub,18,Seafood,3.5,38.76139,-76.9947399,"['9400 Livingston Rd', 'Fort Washington, MD 20744']",Fort Washington,MD
0Ibp4-p5J1xbQdH4-07rcQ,mid-atlantic-seafood-oxon-hill,Mid-Atlantic Seafood,51,Seafood,3.0,38.804707378149,-76.9781716167927,"['6045 Oxon Hill Rd', 'Oxon Hill, MD 20745']",Oxon Hill,MD
Mpg0Xzcul12YjfH2n7nnjg,big-bowl-arlington-4,Big Bowl,35,Seafood,1.5,38.8539720973632,-77.0425108647909,"['2401 S Smith Blvd', 'Terminal B/C Gates 23-34', 'Arlington, VA 22202']",Arlington,VA
hn65d-kUGDd7d4N_32Kb4A,the-smoking-crab-fort-washington,The Smoking Crab,6,Seafood,4.0,38.7376023,-76.9927222,"['11064 Cornett St', 'Fort Washington, MD 20744']",Fort Washington,MD
54qG0fZfXEsEmI_D8LoG7A,camerons-seafood-temple-hills-2,Cameron's Seafood,60,Seafood,2.0,38.8366258,-76.9446527,"['3919 Branch Ave', 'Temple Hills, MD 20748']",Temple Hills,MD
Z9V2XIJQEyV3KAbMZtRg2g,b-b-u-kitchen-accokeek,B.B.U. Kitchen,18,Seafood,3.0,38.669505,-77.00966,"['15790 Livingston Rd', 'Accokeek, MD 20607']",Accokeek,MD
ZursIKQcyZdkIcoupciJIw,hip-hop-fish-and-chicken-temple-hills,Hip Hop Fish & Chicken,65,Seafood,2.5,38.8288528139872,-76.9436131286931,"['4411 Saint Barnabas Rd', 'Temple Hills, MD 20748']",Temple Hills,MD
